Pl.	Sail	Sailor	Subgroup	Spl2	From	1	2	3	4	Total
304	SLO189	Elisa Sedmak	Girl	Blue	JK IZOLA	68	72	(104\BFD)	61	201
305	ITA7375	Tommaso Basilico	U12	Red	LNI Mandello	82	43	77	(104\DNF)	202
306	ITA8082	Giacomo Martini	 	Yellow	LNI Mandello	73	72	58	(104\DNF)	203
307	CRO1055	Loris Berljavac	 	Yellow	JK HORIZONT POREÈ	58	70	76	(104\DNF)	204
308	CRO1025	Jakov Lazinica	U12	Blue	JK GALEB  Kostrena	81	(86)	70	55	206
309	ITA7830	Lorenzo Centuori	U12	Blue	SN Pietas Julia	67	65	74	(104\DNF)	206
310	SLO955	Zala Vidmar	Girl & U12	Blue	JK JADRO KOPER	67	73	67	(104\DNF)	207
311	CRO1130	Jakov Mocinic	U12	Red	CSC	73	57	78	(104\DNF)	208
312	CRO110	Lenka Smiljanic	Girl	White	AJK BEOGRAD	72	60	76	(104\DNF)	208
313	HUN1338	Peter Szaplonczay	 	Yellow	Balatoni Yacht Club 1912	69	70	69	(104\DNF)	208
314	CRO1146	Andrea Sponza	 	White	JK Maestral	66	82	61	(104\DNF)	209
315	ITA8736	Filippo Frasson	 	Blue	SVOC	54	(104\DNF)	54	104\DNF	212
316	ITA6945	Matteo Lesa	U12	Blue	SocietÀ Triestina della Vela	(83)	76	77	59	212
317	AUT1004	Katharina Kropfitsch	Girl & U12	Yellow	KYCK	81	83	(104\DNF)	49	213
318	CRO868	Mara Samarzija	Girl & U12	Yellow	JK SVETI NIKOLA	48	(104\DNF)	104\DNF	62	214
319	FRA2716	Benoit Apolline	Girl	Red	La Pelle Marseille	8	(104\BFD)	104\BFD	104\DSQ	216
320	CRO1022	Arsen Krzyk	U12	White	JK GALEB   Kostrena	83	56	79	(104\DNF)	218
321	HUN1336	Balazs Szaplonczay	U12	Red	Balatoni Yacht Club 1912	75	78	(82)	65	218
322	ITA7355	Benussi Marta	Girl & U12	Yellow	YC Adriaco	76	74	68	(104\DNF)	218
323	SLO912	Liam Al-Dilami	U12	Blue	JK JADRO KOPER	78	57	85	(104\DNF)	220
324	ITA8698	Lucia Brambilla	Girl & U12	Blue	LNI Mandello	71	79	70	(104\DNF)	220
325	POL1872	Marcin Staniewicz	 	White	YC Koszalin	71	79	71	(104\DNF)	221
326	CRO120	Lucija skopac	Girl	Yellow	JK Uljanik	(104\DNF)	104\DNF	104\DNF	14	222
327	ITA8191	Gabriele Crovella	 	Yellow	SN Pietas Julia	61	59	(104\DSQ)	104\DNF	224
328	ITA8988	Emma Ritossa	Girl	Yellow	SocietÀ Triestina della Vela	75	83	66	(104\DNF)	224
329	SRB414	Luka Vukasinovic	 	White	NC PALILULA	82	69	73	(104\DNF)	224
330	ITA8083	Imogene Sicaro	Girl & U12	Red	LNI Mandello	77	84	64	(104\DNF)	225
331	SLO527	Aljaz zibert	 	Blue	JK LJUBLJANA	78	80	70	(104\DNF)	228
332	CRO1152	Noa sajatovic	Girl	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	21	229
333	CRO1117	Alex Mecava	U12	Blue	CSC	76	81	74	(104\DNF)	231
334	SLO443	Dante-Manolo Drozina	U12	Red	JK POCODEBON	82	77	73	(104\DNF)	232
335	ITA7473	Giovanni Marchese	 	Yellow	SVOC	73	57	(104\BFD)	104\DNF	234
336	SRB1171	Veljko Ljubojevic	U12	Yellow	NC PALILULA	79	82	73	(104\DNF)	234
337	CRO1104	Marcelina Filipovic	Girl	White	Bura	(104\DNF)	58	73	104\DNF	235
338	CRO1080	Edi Jurman	U12	White	CSC	84	79	76	(104\DNF)	239
339	ITA6311	Samuele TrovÒ	 	Yellow	SVOC	83	82	75	(104\DNF)	240
340	SLO587	Domen Hostnik	 	White	JK LJUBLJANA	84	78	78	(104\DNF)	240
341	CRO1035	Nika Fornazar	Girl & U12	Red	JK HORIZONT POREÈ	87	51	(104\DNF)	104\DNF	242
342	ITA5264	Alessio Santostefano	U12	Blue	SVOC	74	68	(104\BFD)	104\DNF	246
343	ITA8549	Ian Sunseri	 	White	SN Pietas Julia	(104\DNF)	104\DNF	104\DNF	39	247
344	CRO74	Mare Grskovic	Girl	Red	JK SVETI NIKOLA	(104\DNF)	104\DNF	104\DNF	41	249
345	ITA7374	Matilda Lo Pinto	Girl & U12	White	LNI Mandello	(104\DNF)	71	74	104\DNF	249
346	ITA8900	Tommaso De Fontes	U12	Blue	NIC Catania	(104\DNF)	104\DNF	104\DNF	42	250
347	CRO1099	Iva Rokvic	Girl & U12	Red	JK Uljanik	(104\DNF)	104\DNF	104\DNF	43	251
348	SLO958	David Ratosa	U12	Yellow	JK JADRO KOPER	74	(104\DNF)	78	104\DNF	256
349	ITA8466	Masserano Giovanna	Girl & U12	White	YC Adriaco	81	(104\BFD)	74	104\DNF	259
350	AUT1250	David Rohde	U12	Blue	Yachtclub Hard	(104\DNF)	104\DNF	104\DNF	58	266T
350	CRO1153	Noa Goricki	Girl	Red	JK Uljanik	(104\DNF)	104\DNF	104\DNF	58	266T
352	CRO078	Ema Grabar	Girl & U12	Red	CSC	(104\DNF)	84	81	104\DNF	269
353	CRO1154	Lena Krivic	Girl & U12	Blue	JK Uljanik	(104\DNF)	104\DNF	104\DNF	62	270
354	ITA9005	Alberto Incarbona	U12	Yellow	LN Trapani	(104\DNF)	104\DNF	104\DNF	64	272
355	AUT1176	Schwarz Jakob	U12	Blue	YKA	(104\DNF)	104\DNF	104\DNF	65	273
356	CRO598	Nikola Juric	U12	Red	JK SVETI NIKOLA	(104\DNF)	104\DNF	104\DNF	69	277
357	CRO1216	Luka Lorencin	U12	Blue	CSC	(104\DNF)	104\BFD	69	104\DNF	277
358	SLO368	Marko Balaban	U12	Blue	JK Burja Izola	88	85	(104\DNF)	104\DNF	277
359	CRO1065	Mateo Draguzet	 	Red	CSC	(104\DNF)	104\DNF	76	104\DNF	284
360	ITA4928	Anastasia Mutti	Girl & U12	White	SN Pietas Julia	(104\DNF)	104\DNF	77	104\DNF	285
361	CRO187	Ria Covic	Girl & U12	Yellow	Bura	(104\DNF)	104\DNF	84	104\DNF	292
362	ITA8391	Marianna Ruggiano	U12	White	Centro Velico 3V	89	(104\DNF)	104\DNF	104\DNF	297
363	ITA6959	Itzel Blin	Girl & U12	Yellow	SocietÀ Triestina  della Vela	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	ITA8742	Pietro Cunegatti	U12	White	AVAL-CDV GRAVEDONA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SUI1664	Léonie Baudet	Girl	Yellow	SNG	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO17	Mark Sandri	U12	Blue	CSC	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	ITA6724	Samuele Patorniti	 	Red	Club del mare Diano Marina	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO526	Nina Gabrenja	Girl & U12	White	JK LJUBLJANA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO93	Roza Sabadin	Girl & U12	Red	Jk Pirat	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO959	Ana Petricic	Girl	Red	Jaht Klub Croatia	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO950	Karlo Domancic	U12	Blue	JK ZVIR	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	AUT1041	Maximilian Wiedergut	U12	Yellow	KYCK	(104\DNS)	104\DNF	104\DNF	104\DNF	312T
364	CRO936	Eni Vidulic	Girl	White	JK JUGO	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO933	Marin Krmpotic	U12	Blue	JK OPATIJA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO928	Rikardo Juretic	U12	Red	JK OPATIJA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO927	Veronika Lavrenko	Girl & U12	Yellow	JK HISTRIA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1105	Lukrecia sodan	U12	White	Bura	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO920	Pave Botica	 	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1102	Danica Vucetic	U12	Blue	JK ZVIR	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO924	Dorotea Spisic	Girl	Yellow	JK JUGO	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO92	Varvara Lavrenko	Girl & U12	Red	JK HISTRIA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SRB777	Andrej Bozoki	U12	Blue	JK ZEMUN	(104\DNF)	104\DNF	104\DNF	104\BFD	312T
364	CRO1098	Roko Kuzmanovic	 	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1210	Toni Bilen	U12	Blue	Jaht Klub Croatia	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1084	Glen Deiters	 	Yellow	JK ZVIR	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO881	Luka Pahljina	U12	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1071	Alessia Juricic	Girl & U12	Red	JK Kvarner	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1181	Tajana Filipas	Girl	Yellow	JK JUGO	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO523	Jean-Marie Drozina	U12	White	JK POCODEBON	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1051	Filip Smokovic	U12	Blue	JK Kvarner	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO393	Enya Agnello	Girl & U12	Blue	JK Burja Izola	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1042	Andrea Batelic	U12	White	JK Kvarner	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO818	Jakov Kiralj	 	Yellow	JK JUGO	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO799	Vito Franjic	U12	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO772	Nina Marusic	Girl & U12	Red	JK ZVIR	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO770	Nikola Karkoviæ	U12	Blue	JK ZVIR	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1151	Grigor Pettener	U12	Yellow	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1023	Nika sustic	Girl & U12	Red	JK GALEB Kostrena	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO669	Matej Bertok	 	White	JK OLIMPIC IZOLA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1014	Tim Faflja	 	Yellow	JK HORIZONT POREÈ	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1010	Patrik Spisic	U12	Red	JK JUGO	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1004	Jessica Konc	Girl & U12	Blue	JK OPATIJA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO10	Oliver Bilic	U12	Blue	JK HORIZONT POREÈ	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO1	Roman Mohorovic	U12	Red	JK Vega	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO725	Filip Luic	 	White	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO723	Karla Blaskovic	Girl & U12	Yellow	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO6479	Ivano Kaic	U12	Yellow	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO600	Mare Uroda Plevko	Girl & U12	White	JK SVETI NIKOLA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	SLO1212	Daniel Cante	 	Yellow	JK IZOLA	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO2021	Luka Kamber	U12	Blue	JK GALEB   Kostrena	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	CRO2007	Deni Mocinic	U12	Red	JK Uljanik	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
364	ITA7614	Elena Madesani	Girl & U12	Red	Club del mare Diano Marina	(104\DNF)	104\DNF	104\DNF	104\DNF	312T
